**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
5.0,Elevator call,4.374727290393253,0,-1,1,0, got allocated to elevator, 0
5.0, elevID,2,  pos,-2,  cmd, goto,0
17.0, elevID,2,  pos,0,  cmd, goto,0
17.0,Elevator call,16.957882888088932,-1,0,1,0, got allocated to elevator, 0
17.0,Elev,2,  arrived at src, 0, Elevator call,4.374727290393253,0,-1,2,0
17.0, elevID,2,  pos,0,  cmd, goto,0
18.0, elevID,2,  pos,0,  cmd, goto,0
19.0, elevID,2,  pos,0,  cmd, goto,0
20.0, elevID,2,  pos,0,  cmd, goto,0
21.0, elevID,2,  pos,0,  cmd, goto,0
22.0, elevID,2,  pos,0,  cmd, goto,0
23.0, elevID,2,  pos,0,  cmd, goto,0
23.0,Elevator call,22.094056301593582,0,-1,1,0, got allocated to elevator, 0
23.0,Elev,2,  arrived at src, 0, Elevator call,22.094056301593582,0,-1,2,0
23.0, elevID,2,  pos,0,  cmd, goto,0
24.0, elevID,2,  pos,0,  cmd, goto,0
25.0, elevID,2,  pos,0,  cmd, goto,0
26.0, elevID,2,  pos,0,  cmd, goto,0
27.0, elevID,2,  pos,0,  cmd, goto,0
28.0, elevID,2,  pos,0,  cmd, goto,0
29.0, elevID,2,  pos,0,  cmd, goto,0
30.0, elevID,2,  pos,0,  cmd, goto,0
31.0, elevID,2,  pos,0,  cmd, goto,0
32.0, elevID,2,  pos,0,  cmd, goto,0
33.0, elevID,2,  pos,0,  cmd, goto,0
34.0, elevID,2,  pos,0,  cmd, goto,0
35.0, elevID,2,  pos,0,  cmd, goto,0
36.0, elevID,2,  pos,0,  cmd, goto,0
37.0, elevID,2,  pos,0,  cmd, goto,0
38.0, elevID,2,  pos,0,  cmd, goto,0
39.0, elevID,2,  pos,0,  cmd, goto,0
40.0, elevID,2,  pos,0,  cmd, goto,0
41.0, elevID,2,  pos,0,  cmd, goto,0
42.0, elevID,2,  pos,0,  cmd, goto,0
43.0, elevID,2,  pos,0,  cmd, goto,0
44.0, elevID,2,  pos,0,  cmd, goto,0
45.0, elevID,2,  pos,0,  cmd, goto,0
46.0, elevID,2,  pos,0,  cmd, goto,0
47.0, elevID,2,  pos,0,  cmd, goto,0
48.0, elevID,2,  pos,0,  cmd, goto,0
49.0, elevID,2,  pos,0,  cmd, goto,0
50.0, elevID,2,  pos,0,  cmd, goto,0
51.0, elevID,2,  pos,0,  cmd, goto,0
52.0, elevID,2,  pos,0,  cmd, goto,0
53.0, elevID,2,  pos,0,  cmd, goto,0
54.0, elevID,2,  pos,0,  cmd, goto,0
55.0, elevID,2,  pos,0,  cmd, goto,0
56.0, elevID,2,  pos,0,  cmd, goto,0
57.0, elevID,2,  pos,0,  cmd, goto,0
58.0, elevID,2,  pos,0,  cmd, goto,0
59.0, elevID,2,  pos,0,  cmd, goto,0
60.0, elevID,2,  pos,0,  cmd, goto,0
61.0, elevID,2,  pos,0,  cmd, goto,0
62.0, elevID,2,  pos,0,  cmd, goto,0
63.0, elevID,2,  pos,0,  cmd, goto,0
64.0, elevID,2,  pos,0,  cmd, goto,0
65.0, elevID,2,  pos,0,  cmd, goto,0
66.0, elevID,2,  pos,0,  cmd, goto,0
