**** The Simulator log: stage 4
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-3,20]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.5, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,3600.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 500
0.0,**** Simulation starts!! ****
5.0,Elevator call,4.993816266014164,-1,12,1,2, got allocated to elevator, 2
5.0, elevID,10,  pos,-3,  cmd, goto,-1
16.0,Elev,10,  arrived at src, -1, Elevator call,4.993816266014164,-1,12,2,2
16.0, elevID,10,  pos,-1,  cmd, goto,-1
17.0, elevID,10,  pos,-1,  cmd, goto,-1
18.0, elevID,10,  pos,-1,  cmd, goto,-1
19.0,Elevator call,18.77917039169597,-2,-1,1,1, got allocated to elevator, 1
19.0, elevID,9,  pos,-3,  cmd, goto,-2
19.0, elevID,10,  pos,-1,  cmd, goto,-1
20.0, elevID,10,  pos,-1,  cmd, goto,-1
20.0,Elevator call,19.387078657155826,0,17,1,2, got allocated to elevator, 2
20.0, elevID,10,  pos,-1,  cmd, goto,-1
21.0, elevID,10,  pos,-1,  cmd, goto,-1
22.0, elevID,10,  pos,-1,  cmd, goto,-1
23.0, elevID,10,  pos,-1,  cmd, goto,-1
24.0, elevID,10,  pos,-1,  cmd, goto,-1
25.0, elevID,10,  pos,-1,  cmd, goto,-1
26.0, elevID,10,  pos,-1,  cmd, goto,-1
27.0, elevID,10,  pos,-1,  cmd, goto,-1
28.0, elevID,10,  pos,-1,  cmd, goto,-1
28.0,Elevator call,27.9999732565052,0,9,1,2, got allocated to elevator, 2
28.0, elevID,10,  pos,-1,  cmd, goto,-1
29.0, elevID,10,  pos,-1,  cmd, goto,-1
30.0,Elev,9,  arrived at src, -2, Elevator call,18.77917039169597,-2,-1,2,1
30.0, elevID,9,  pos,-2,  cmd, goto,-2
30.0, elevID,10,  pos,-1,  cmd, goto,-1
31.0, elevID,9,  pos,-2,  cmd, goto,-2
31.0, elevID,10,  pos,-1,  cmd, goto,-1
32.0, elevID,9,  pos,-2,  cmd, goto,-2
32.0, elevID,10,  pos,-1,  cmd, goto,-1
33.0, elevID,9,  pos,-2,  cmd, goto,-2
33.0, elevID,10,  pos,-1,  cmd, goto,-1
34.0, elevID,9,  pos,-2,  cmd, goto,-2
34.0, elevID,10,  pos,-1,  cmd, goto,-1
35.0, elevID,9,  pos,-2,  cmd, goto,-2
35.0, elevID,10,  pos,-1,  cmd, goto,-1
36.0, elevID,9,  pos,-2,  cmd, goto,-2
36.0, elevID,10,  pos,-1,  cmd, goto,-1
37.0, elevID,9,  pos,-2,  cmd, goto,-2
37.0, elevID,10,  pos,-1,  cmd, goto,-1
38.0, elevID,9,  pos,-2,  cmd, goto,-2
38.0, elevID,10,  pos,-1,  cmd, goto,-1
39.0, elevID,10,  pos,-1,  cmd, goto,-1
39.0,Elevator call,38.28582116015673,0,2,1,2, got allocated to elevator, 2
39.0, elevID,9,  pos,-2,  cmd, goto,-2
39.0, elevID,10,  pos,-1,  cmd, goto,-1
40.0, elevID,10,  pos,-1,  cmd, goto,-1
40.0,Elevator call,39.19202923931175,0,20,1,2, got allocated to elevator, 2
40.0, elevID,10,  pos,-1,  cmd, goto,-1
40.0,Elevator call,39.69710409736126,0,12,1,2, got allocated to elevator, 2
40.0, elevID,9,  pos,-2,  cmd, goto,-2
40.0, elevID,10,  pos,-1,  cmd, goto,-1
41.0, elevID,9,  pos,-2,  cmd, goto,-2
41.0, elevID,10,  pos,-1,  cmd, goto,-1
42.0, elevID,9,  pos,-2,  cmd, goto,-2
42.0, elevID,10,  pos,-1,  cmd, goto,-1
43.0, elevID,9,  pos,-2,  cmd, goto,-2
43.0, elevID,10,  pos,-1,  cmd, goto,-1
44.0, elevID,9,  pos,-2,  cmd, goto,-2
44.0, elevID,10,  pos,-1,  cmd, goto,-1
45.0, elevID,9,  pos,-2,  cmd, goto,-2
45.0, elevID,10,  pos,-1,  cmd, goto,-1
46.0, elevID,9,  pos,-2,  cmd, goto,-2
46.0, elevID,10,  pos,-1,  cmd, goto,-1
47.0, elevID,9,  pos,-2,  cmd, goto,-2
47.0, elevID,10,  pos,-1,  cmd, goto,-1
48.0, elevID,9,  pos,-2,  cmd, goto,-2
48.0, elevID,10,  pos,-1,  cmd, goto,-1
