**** The Simulator log: stage 9
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-10,100]
0) ex0.simulator.Elevator_A, Elev_0, speed: 5.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 10.0, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 12.0, open/close: 2.0,  start/stop: 3.0
4) ex0.simulator.Elevator_A, Elev_4, speed: 2.0, open/close: 2.0,  start/stop: 3.0
5) ex0.simulator.Elevator_A, Elev_5, speed: 3.0, open/close: 2.0,  start/stop: 3.0
6) ex0.simulator.Elevator_A, Elev_6, speed: 4.0, open/close: 2.0,  start/stop: 3.0
7) ex0.simulator.Elevator_A, Elev_7, speed: 4.0, open/close: 2.0,  start/stop: 3.0
8) ex0.simulator.Elevator_A, Elev_8, speed: 4.0, open/close: 2.0,  start/stop: 3.0
9) ex0.simulator.Elevator_A, Elev_9, speed: 4.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,3600.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 1000
0.0,**** Simulation starts!! ****
5.0,Elevator call,4.181791416969872,-7,-4,1,3, got allocated to elevator, 3
5.0, elevID,55,  pos,-10,  cmd, goto,-7
10.0,Elevator call,9.088234750896163,-8,24,1,1, got allocated to elevator, 1
10.0, elevID,53,  pos,-10,  cmd, goto,-8
16.0,Elev,55,  arrived at src, -7, Elevator call,4.181791416969872,-7,-4,2,3
16.0, elevID,55,  pos,-7,  cmd, goto,-7
17.0, elevID,55,  pos,-7,  cmd, goto,-7
18.0, elevID,55,  pos,-7,  cmd, goto,-7
19.0, elevID,55,  pos,-7,  cmd, goto,-7
20.0, elevID,55,  pos,-7,  cmd, goto,-7
21.0,Elev,53,  arrived at src, -8, Elevator call,9.088234750896163,-8,24,2,1
21.0, elevID,53,  pos,-8,  cmd, goto,-8
21.0, elevID,55,  pos,-7,  cmd, goto,-7
22.0, elevID,53,  pos,-8,  cmd, goto,-8
22.0, elevID,55,  pos,-7,  cmd, goto,-7
23.0, elevID,53,  pos,-8,  cmd, goto,-8
23.0, elevID,55,  pos,-7,  cmd, goto,-7
24.0, elevID,55,  pos,-7,  cmd, goto,-7
24.0,Elevator call,23.235924121476728,-5,-3,1,3, got allocated to elevator, 3
24.0, elevID,53,  pos,-8,  cmd, goto,-8
24.0, elevID,55,  pos,-7,  cmd, goto,-7
25.0, elevID,53,  pos,-8,  cmd, goto,-8
25.0, elevID,55,  pos,-7,  cmd, goto,-7
26.0, elevID,53,  pos,-8,  cmd, goto,-8
26.0,Elevator call,25.401489874449226,-4,86,1,1, got allocated to elevator, 1
26.0, elevID,53,  pos,-8,  cmd, goto,-8
26.0, elevID,55,  pos,-7,  cmd, goto,-7
27.0,Elevator call,26.510341549025043,-3,-4,1,0, got allocated to elevator, 0
27.0, elevID,52,  pos,-10,  cmd, goto,-3
27.0, elevID,53,  pos,-8,  cmd, goto,-8
27.0, elevID,55,  pos,-7,  cmd, goto,-7
28.0, elevID,53,  pos,-8,  cmd, goto,-8
28.0, elevID,55,  pos,-7,  cmd, goto,-7
29.0, elevID,53,  pos,-8,  cmd, goto,-8
29.0, elevID,55,  pos,-7,  cmd, goto,-7
30.0, elevID,53,  pos,-8,  cmd, goto,-8
30.0, elevID,55,  pos,-7,  cmd, goto,-7
31.0, elevID,53,  pos,-8,  cmd, goto,-8
31.0, elevID,55,  pos,-7,  cmd, goto,-7
32.0, elevID,53,  pos,-8,  cmd, goto,-8
32.0, elevID,55,  pos,-7,  cmd, goto,-7
